config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,solve-time,total-time,solve-result,default-kissat-time,default-kissat-result,cake-verified
default_cake.sh,manthey_DimacsSorter_36_7,304362,0,21,0,0,100.03,2236.09,2336.12,SAT-VERIFIED,94.1338,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_37_3,237176,0,4,0,0,100.09,2018.34,2118.43,SAT-VERIFIED,4149.65,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_37_6,163868,0,0,0,0,100.05,106.16,206.21,SAT-VERIFIED,89.715,SAT-VERIFIED,NA
default_cake.sh,manthey_single-ordered-initialized-w18-b7,1228852,0,49,0,0,99.96,0.06,100.02,UNSAT,0.104902,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w18-b8,1145377,0,61,0,0,100.09,0,100.09,UNSAT,0.102575,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w20-b10,1089068,0,7,0,0,100.1,0,100.1,SAT-VERIFIED,0.042958,SAT-VERIFIED,NA
default_cake.sh,manthey_single-ordered-initialized-w20-b7,1101163,0,49,0,0,100.04,0.07,100.11,UNSAT,0.143591,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w20-b8,996776,0,55,0,0,100.02,0.28,100.3,UNSAT,0.172595,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w22-b6,1057324,0,36,0,0,100.02,0.02,100.04,UNSAT,0.31092,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w22-b8,903782,0,52,0,0,100,0.56,100.56,UNSAT,0.346865,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w24-b7,867756,0,42,0,0,100.01,0.86,100.87,UNSAT,0.699903,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w24-b9,948006,0,6,0,0,100.07,1.03,101.1,UNSAT,0.54525,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w26-b7,782846,0,31,0,0,100.05,1.61,101.66,UNSAT,1.35793,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w26-b8,911656,0,5,0,0,99.99,1.78,101.77,UNSAT,1.38021,UNSAT,TRUE
default_cake.sh,manthey_single-ordered-initialized-w28-b8,827234,0,5,0,0,100.01,3.09,103.1,UNSAT,2.45872,UNSAT,TRUE
default_cake.sh,mrpp_4x4#12_12,1079805,1682,84,0,1682,99.89,16.78,116.67,UNSAT,8.61358,UNSAT,TRUE
default_cake.sh,mrpp_4x4#4_24,658713,3169,123,1,3168,99.89,0.2,100.09,SAT-VERIFIED,0.181067,SAT-VERIFIED,NA
default_cake.sh,mrpp_4x4#6_20,737162,2882,102,0,2882,99.94,0.06,100,SAT-VERIFIED,0.638474,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#10_10,811108,200,0,0,200,99.62,0.35,99.97,SAT-VERIFIED,0.449026,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#10_8,912213,464,59,0,464,100.06,0.04,100.1,SAT-VERIFIED,0.176156,SAT-VERIFIED,NA
default_cake.sh,mrpp_6x6#12_8,920944,435,63,0,435,98.26,0,98.26,UNSAT,0.012413,UNSAT,TRUE
default_cake.sh,mrpp_6x6#16_9,724196,172,0,0,172,100.07,1.01,101.08,UNSAT,0.913573,UNSAT,TRUE
default_cake.sh,mrpp_6x6#18_9,756118,158,0,0,158,100.09,4.97,105.06,UNSAT,3.37037,UNSAT,TRUE
default_cake.sh,ablmulub2x32o,731555,459,9,0,459,99.97,304.36,404.33,UNSAT,302.386,UNSAT,TRUE
default_cake.sh,ablmulub8x16o,889681,276,3,0,276,99.96,2092.87,2192.83,UNSAT,2396.81,UNSAT,TRUE
default_cake.sh,ak016modbtsimpbisc,415112,260,9,0,260,100.1,558.91,659.01,UNSAT,680.232,UNSAT,TRUE
default_cake.sh,am_7_7.shuffled-as.sat03-363,1201355,2,455,0,2,100.43,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,am_9_9,324436,0,35,0,0,100.09,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,AProVE07-25,513991,0,13,0,0,99.96,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,countbitsarray04_32,671599,31,64,1,30,100.07,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,custmulsb2x32o,1163201,640,0,0,640,100.01,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,custmulun16x16o,1481723,895,0,0,895,80.12,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,e2a_2.c.smt2-cvc4,254834,12,5,0,12,100.01,0,100.01,SAT-VERIFIED,0.020272,SAT-VERIFIED,NA
default_cake.sh,e2_2.c.smt2-cvc4,254381,0,5,0,0,99.99,0,99.99,SAT-VERIFIED,0.02465,SAT-VERIFIED,NA
default_cake.sh,ecgrid6x210_shuffled,50420,0,0,0,0,1.23,3322.88,3324.11,UNSAT,2697.65,UNSAT,TRUE
default_cake.sh,ecgrid6x215_shuffled,51620,0,0,0,0,1.26,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,ecgrid6x220_shuffled,52820,0,0,0,0,1.29,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,ecgrid6x225_shuffled,54020,0,0,0,0,1.37,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,ecgrid6x230_shuffled,55220,0,0,0,0,1.43,5000,5000,UNKNOWN,4724.32,UNSAT,NA
default_cake.sh,ecgrid6x240_shuffled,57620,0,0,0,0,1.52,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,ecgrid6x250_shuffled,60020,0,0,0,0,1.68,4458.05,4459.73,UNSAT,3682.78,UNSAT,TRUE
default_cake.sh,gripper14u,458507,5883,244,29,5854,100.03,1201.22,1301.25,UNSAT,1430.16,UNSAT,TRUE
default_cake.sh,mulhs016,181181,0,0,0,0,12.77,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b01,240445,37,0,0,37,9.28,5000,5000,UNKNOWN,5000,UNKNOWN,NA
default_cake.sh,Ptn-7824-b02,242677,39,0,0,39,9.4,5000,5000,UNKNOWN,1246.42,SAT-VERIFIED,NA
default_cake.sh,Ptn-7824-b03,244702,46,0,0,46,9.45,5000,5000,UNKNOWN,5000,UNKNOWN,NA
